code,title,genre,age,openDate,rate,participate,actors,story,,,,,,,,,,,,,
201705,더 드라이버 : 네이버 영화,공포,,,,,,,,,,,,,,,,,,,
197450,더 레이서 : 네이버 영화,드라마,15세 관람가, 2021.02.24,7.64,67,루이스 탈페,,,,,,,,,,,,,,
187293,더 레치드: 악령의 저주 : 네이버 영화,판타지,,,,,,,,,,,,,,,,,,,
202901,더 박스 : 네이버 영화,드라마,12세 관람가, 2021.03.24,8.67,520,찬열,,,,,,,,,,,,,,
198236,더 배니싱 : 네이버 영화,공포,,,,,,,,,,,,,,,,,,,
167569,더 수어사이드 스쿼드 : 네이버 영화,액션,,,,,,,,,,,,,,,,,,,
191914,더 스파이 : 네이버 영화,스릴러,15세 관람가,,,,,,,,,,,,,,,,,,
197288,더 시크릿 : 네이버 영화,스릴러,15세 관람가,,,,,,,,,,,,,,,,,,
201876,더 엑시트 : 네이버 영화,액션,,,,,,,,,,,,,,,,,,,
201944,더 킹: 독립 전쟁 : 네이버 영화,전쟁,,,,,,,,,,,,,,,,,,,
202354,더 터널 : 네이버 영화,액션,,,,,,,,,,,,,,,,,,,
196561,더 테러 라이브: 스쿨 어택 : 네이버 영화,액션,, 2021.09.02,,,라다 미첼,,,,,,,,,,,,,,
191920,더 파더 : 네이버 영화,드라마,12세 관람가,,,,,,,,,,,,,,,,,,
193971,더 퍼지: 포에버 : 네이버 영화,스릴러,,,,,,,,,,,,,,,,,,,
51264,더 프레지던트 : 네이버 영화,드라마,,,,,,,,,,,,,,,,,,,
209497,더 하더 데이 폴 : 네이버 영화,액션,,,,,,,,,,,,,,,,,,,
196361,더블패티 : 네이버 영화,드라마,15세 관람가, 2021.02.17,6.73,714,신승호,,,,,,,,,,,,,,
194085,더스트맨 : 네이버 영화,드라마,12세 관람가, 2021.04.07,7.95,61,우지현,,,,,,,,,,,,,,
207349,데빌스 나잇 : 네이버 영화,액션,,,,,,,,,,,,,,,,,,,
196736,데스 숏컷 : 네이버 영화,판타지,,,,,,,,,,,,,,,,,,,
195685,데스 오브 미 : 네이버 영화,공포,,,,,,,,,,,,,,,,,,,
200353,데이팅 앰버 : 네이버 영화,코미디,,,,,,,,,,,,,,,,,,,
200052,도라에몽: 스탠바이미 2 : 네이버 영화,애니메이션,,,,,,,,,,,,,,,,,,,
